
LIVE (published) diagrams: 85 across 21 sections
smallest label x 306.74/viewBoxWidth = CSS px at a 390px viewport, against 16px body copy

    px | vbW | face | texts | kind  | section — title
  4.29 | 500 |    7 |    28 | -     | aggregate-supply — LRAS: Classical vs Keynesian
  4.29 | 500 |    7 |    45 | -     | supply — PES: Visual Comparison
  4.91 | 500 |    8 |    19 | -     | aggregate-demand — The Multiplier Effect
  4.91 | 500 |    8 |    16 | -     | aggregate-supply — AD/AS Equilibrium: Multiple Scenarios [3
  4.91 | 500 |    8 |    16 | -     | aggregate-supply — AD/AS Equilibrium: Multiple Scenarios [4
  4.91 | 500 |    8 |    13 | -     | balance-payments-exchange-rates — Exchange Rate Determination (Floating Sy
  4.91 | 500 |    8 |    13 | -     | balance-payments-exchange-rates — Exchange Rate Determination (Floating Sy
  4.91 | 500 |    8 |    18 | -     | causes-effects-globalisation — Indicators of Globalisation Over Time
  4.91 | 500 |    8 |    18 | -     | consumer-behaviour-demand — PED and Total Revenue
  4.91 | 500 |    8 |    42 | -     | consumer-behaviour-demand — PED Values: Visual Comparison
  4.91 | 500 |    8 |    42 | -     | consumer-behaviour-demand — YED and XED Interpretation
  4.91 | 500 |    8 |    16 | -     | macroeconomic-objectives-policies — Fiscal Policy: AD/AS Impact
  4.91 | 500 |    8 |    28 | -     | macroeconomic-objectives-policies — Monetary Policy Transmission Mechanism
  4.91 | 500 |    8 |    19 | -     | national-income — Circular Flow of Income [2]
  4.91 | 500 |    8 |    12 | -     | poverty-inequality — Absolute vs Relative Poverty
  4.91 | 500 |    8 |    21 | -     | revenue-costs-profits — Revenue Curves: TR, AR and MR
  4.91 | 500 |    8 |    15 | -     | revenue-costs-profits — Short-Run Cost Curves: MC, AC, AVC and A
  4.91 | 500 |    8 |    17 | -     | supply — PES Over Time: Short Run vs Long Run
  5.21 | 500 |  8.5 |    24 | -     | causes-effects-globalisation — FDI Flows: Reasons and Impacts
  5.52 | 500 |    9 |    11 | -     | aggregate-demand — The AD Curve
  5.52 | 500 |    9 |    11 | -     | aggregate-demand — The AD Curve [2]
  5.52 | 500 |    9 |    23 | -     | aggregate-demand — Circular Flow of Income with AD Componen
  5.52 | 500 |    9 |    13 | -     | aggregate-supply — AD/AS Equilibrium: Multiple Scenarios
  5.52 | 500 |    9 |    13 | -     | aggregate-supply — AD/AS Equilibrium: Multiple Scenarios [2
  5.52 | 500 |    9 |    19 | -     | causes-effects-globalisation — Costs vs Benefits of Globalisation
  5.52 | 500 |    9 |    15 | -     | economic-growth — The Business (Trade) Cycle
  5.52 | 500 |    9 |    13 | -     | economic-growth — PPF: Actual vs Potential Growth
  5.52 | 500 |    9 |    11 | -     | government-intervention — Maximum Price (Price Ceiling)
  5.52 | 500 |    9 |    11 | -     | government-intervention — Minimum Price (Price Floor)
  5.52 | 500 |    9 |    24 | -     | growth-development — Lewis Dual-Sector Model
  5.52 | 500 |    9 |    21 | -     | introductory-concepts — Production Possibility Frontier (PPF)
  5.52 | 500 |    9 |    12 | -     | labour-markets — Monopsony Labour Market
  5.52 | 500 |    9 |    14 | -     | labour-markets — Monopsony Labour Market [2]
  5.52 | 500 |    9 |    14 | -     | macroeconomic-objectives-policies — The Phillips Curve
  5.52 | 500 |    9 |    13 | -     | macroeconomic-objectives-policies — The Phillips Curve [2]
  5.52 | 500 |    9 |    18 | -     | macroeconomic-objectives-policies — Supply-Side Policy: LRAS Shift
  5.52 | 500 |    9 |    12 | -     | market-failure — Negative Externality of Production
  5.52 | 500 |    9 |    11 | -     | market-failure — Positive Externality of Consumption
  5.52 | 500 |    9 |    12 | -     | market-structures-contestability — Monopoly — Profit-Maximising Equilibrium
  5.52 | 500 |    9 |    12 | -     | market-structures-contestability — Monopolistic Competition — Long-Run Equi
  5.52 | 500 |    9 |    30 | -     | measures-economic-performance — Types of Unemployment
  5.52 | 500 |    9 |    10 | -     | national-income — Circular Flow of Income
  5.52 | 500 |    9 |    12 | -     | national-income — Injections and Withdrawals Equilibrium
  5.52 | 500 |    9 |    11 | -     | national-income — Injections and Withdrawals Equilibrium [
  5.52 | 500 |    9 |    24 | -     | poverty-inequality — Lorenz Curve and Gini Coefficient
  5.52 | 500 |    9 |    15 | -     | poverty-inequality — Kuznets Curve: Inequality and Developmen
  5.52 | 500 |    9 |    18 | -     | revenue-costs-profits — Long-Run Average Cost Curve: Economies a
  5.52 | 500 |    9 |    11 | -     | revenue-costs-profits — Short-Run and Long-Run Shutdown Points
  5.52 | 500 |    9 |    15 | -     | revenue-costs-profits — Short-Run and Long-Run Shutdown Points [
  5.52 | 500 |    9 |    15 | -     | revenue-costs-profits — Short-Run and Long-Run Shutdown Points [
  5.52 | 500 |    9 |    15 | -     | types-sizes-businesses — Profit Maximisation, Revenue Maximisatio
  6.13 | 500 |   10 |    11 | -     | aggregate-supply — Short-Run Aggregate Supply (SRAS)
